Operator Clock Number,Heat Number,Sequence Number,LEW Grade Index,USS Grade ,Treatment Start Date,Treatment Start Time,Total Cycle Time,Hot Metal Weight,HM WGT TONS,Hot Metal Start Temp,Hot Metal Silicon,Start Sulfur,Aim Sulfur,Actual Aim Sulfur,Final Sulfur,0,Ordered Mg,Actual Mg,MG Kg/T,$ mag ,Ordered Lime,Actual Lime,lime Kg/T,$ Lime ,TOTAL $,$ / TON,$/T/P,kg/t/p,,Injection Cycle Time,RATIO,Reshot Final Sulfur,Reshot Ordered Mg,Reshot Actual Mg,Reshot Ordered Lime,Reshot Actual Lime,Reshot Cycle Time,"System ""A"" Usage","System ""B"" Usage","Lance ""A"" Used","Lance ""A"" ID","Lance ""A"" Minutes","Lance ""B"" Used","Lance ""B"" ID","Lance ""B"" Minutes",Skim Weight,SKIM %,Ladle (LD) Analysis Sulfur,RHOB (R) Sulfur,LTS (L) Sulfur,Caster Final (F20) Sulfur,,,,,mag price,lime price
531000000,756671,133,DS0001F,AJ04,26/02/2009,19:53:35,00:27:29,211000,211,1359,0.67,0.04,0.006,0.006,0.005,0,120,119,0.564,$593.6077,324,285,1.351,$94.7625,$688.3702,$3.2624,$0.0932,,,00:04:57,2.39,,,,,,00:00:00,1,1,1,41,00:56:00,1,27,13:50:00,2480,1.18%,0.0083,0.0083,,0.0085,,,,,,
531000000,801390,107,DS0006C,FB15,06/02/2009,,00:40:45,209800,210,1350,0.877,0.024,0.01,0.01,0.011,0,62,62,0.2955,$309.2746,167,171,0.815,$56.8575,$366.1321,$1.7451,$0.1342,,,00:00:00,2.76,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,3590,1.71%,0.0103,,0.0106,0.0104,,,,,,
531000000,801392,109,DS0006C,FB15,06/02/2009,,00:27:02,199100,199,1369,0.902,0.033,0.01,0.01,0.01,0,77,77,0.3867,$384.0991,208,208,1.045,$69.1600,$453.2591,$2.2765,$0.0990,,,00:00:00,2.7,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,3230,1.62%,0.0092,,0.0116,0.0114,,,,,,
531000000,756447,18,DS0005C,FB14,12/02/2009,12:38:00,00:33:36,223900,224,1278,0.323,0.117,0.01,0.01,0.003,1,270,269,1.2014,$1,341.8527,729,706,3.153,$234.7450,$1,576.5977,$7.0415,$0.0618,,,00:11:28,2.62,,,,,,00:00:00,1,1,1,40,13:52:00,1,36,09:31:00,4870,2.18%,0.0067,,0.0075,0.008,,,,
531000000,801460,85,DS1822E,,15/02/2009,08:10:31,00:23:56,202900,203,1394,0.93,0.022,0.01,0.01,0.012,0,56,55,0.2711,$274.3565,151,152,0.749,$50.5400,$324.8965,$1.6013,$0.1601,,,00:02:38,2.76,,,,,,00:00:00,1,1,1,40,18:35:00,1,36,14:14:00,2800,1.38%,0.0144,,0.0147,0.0157,,,,,,
531000000,756483,87,DS1822E,,15/02/2009,10:12:09,00:26:36,208000,208,1401,0.82,0.019,0.01,0.01,0.012,0,51,51,0.2452,$254.4033,138,135,0.649,$44.8875,$299.2908,$1.4389,$0.2056,,,00:02:32,2.65,,,,,,00:00:00,1,1,1,40,18:38:00,1,36,14:19:00,2330,1.12%,0.0086,,0.0099,0.01,,,,,,
531000000,756484,88,DS1822E,,15/02/2009,11:20:33,00:36:13,211400,211,1378,0.871,0.027,0.01,0.01,0.01,0,72,72,0.3406,$359.1576,194,200,0.946,$66.5000,$425.6576,$2.0135,$0.1184,,,00:03:24,2.78,,,,,,00:00:00,1,1,1,40,18:41:00,1,36,14:22:00,2910,1.38%,0.0095,,0.0105,0.0108,,,,,,
531000000,756486,90,DS1822E,,15/02/2009,13:05:29,00:22:45,202200,202,1394,0.958,0.031,0.01,0.01,0.012,0,73,73,0.361,$364.1459,197,198,0.979,$65.8350,$429.9809,$2.1265,$0.1119,,,00:03:18,2.71,,,,,,00:00:00,1,1,1,40,18:47:00,1,36,14:29:00,2670,1.32%,0.0135,,0.0134,0.0145,,,,,,
531000000,801462,92,DS1822E,,15/02/2009,15:08:37,00:23:27,213100,213,1349,0.951,0.027,0.01,0.01,0.009,0,69,69,0.3238,$344.1927,186,185,0.868,$61.5125,$405.7052,$1.9038,$0.1058,,,00:03:08,2.68,,,,,,00:00:00,1,1,1,40,18:52:00,1,36,14:34:00,2390,1.12%,0.0084,,0.0096,0.0095,,,,,,
531000000,756501,10,DS0810G,KC06,16/02/2009,18:50:17,00:29:24,210100,210,1291,0.952,0.029,0.01,0.01,0.008,0,72,72,0.3427,$359.1576,194,196,0.933,$65.1700,$424.3276,$2.0196,$0.0962,,,00:03:16,2.72,,,,,,00:00:00,1,1,1,41,02:08:00,1,36,16:42:00,4480,2.13%,0.0078,0.0089,,0.0098,,,,,,
